s,%/m,%/m,kg/m3,kg/m3,kg/m3,kg/m3,kg/m3,kg/m3,kg/m3,kg/m3,kg/m3,kg/m3,kg/m3,kg/m3,m,m,m,m,C,C,C,C,kW/m2,kW/m2,kW/m2,kW/m2,mol/mol,mol/mol,mol/mol,mol/mol,kg/m3,kg/m3,kg/m3,kg/m3,kg/m3,kg/m3,kg/m3,kg/m3,kg/m3,kg/m3,kg/m3,kg/m3,kg/m3,kg/m3,kg/m3,kg/m3,kg/m3,kg/m3,m,m,m,m,m,m,C,C,C,C,C,C,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol
Time,"Smoke detector LD1_00","Smoke detector LD3_00","CD1","CD2","CD3","CD4","CM1","CM2","CM3","CM4","HCN1","HCN2","HCN3","HCN4","VIS1","VIS2","VIS3","VIS4","TEMP1","TEMP2","TEMP3","TEMP4","RAD1","RAD2","RAD3","RAD4","WATER1","WATER2","WATER3","WATER4","CD5","CD6","CD7","CD8","CD9","CD10","CM5","CM6","CM7","CM8","CM9","CM10","HCN5","HCN6","HCN7","HCN8","HCN9","HCN10","VIS5","VIS6","VIS7","VIS9","VIS8","VIS10","TEMP5","TEMP6","TEMP7","TEMP8","TEMP9","TEMP10","RAD5","RAD6","RAD7","RAD8","RAD9","RAD10","WATER5","WATER6","WATER7","WATER8","WATER9","WATER10"
 2.7002617E+001, 0.0000000E+000, 0.0000000E+000, 7.0680729E-004, 7.0680648E-004, 7.0680641E-004, 7.0680573E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 1.9999858E+001, 2.0000192E+001, 2.0000223E+001, 2.0000501E+001,-2.7260309E-007,-2.1854260E-007,-1.7050499E-007,-6.1965232E-008, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 7.0680815E-004, 7.0680748E-004, 7.0680735E-004, 7.0680629E-004, 7.0680587E-004, 7.0680810E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 1.9999500E+001, 1.9999778E+001, 1.9999831E+001, 2.0000270E+001, 2.0000446E+001, 1.9999519E+001,-3.1001941E-007,-7.9621035E-008,-4.4524706E-007,-1.9006380E-007,-3.6519257E-007,-4.0525410E-007, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003
 2.8045189E+001, 0.0000000E+000, 0.0000000E+000, 7.0680729E-004, 7.0680646E-004, 7.0680642E-004, 7.0680572E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 1.9999856E+001, 2.0000202E+001, 2.0000216E+001, 2.0000509E+001,-2.6927433E-007,-2.1464130E-007,-1.6851378E-007,-6.0591139E-008, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 7.0680815E-004, 7.0680751E-004, 7.0680737E-004, 7.0680627E-004, 7.0680586E-004, 7.0680811E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 1.9999501E+001, 1.9999766E+001, 1.9999825E+001, 2.0000280E+001, 2.0000451E+001, 1.9999515E+001,-3.0637016E-007,-7.9670886E-008,-4.3887033E-007,-1.8666006E-007,-3.5928735E-007,-4.0039641E-007, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003
 2.9087761E+001, 0.0000000E+000, 0.0000000E+000, 7.0680730E-004, 7.0680643E-004, 7.0680644E-004, 7.0680570E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 1.9999853E+001, 2.0000213E+001, 2.0000208E+001, 2.0000518E+001,-2.6587923E-007,-2.1060309E-007,-1.6647002E-007,-5.9241252E-008, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 7.0680814E-004, 7.0680754E-004, 7.0680738E-004, 7.0680625E-004, 7.0680585E-004, 7.0680812E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 1.9999503E+001, 1.9999753E+001, 1.9999819E+001, 2.0000290E+001, 2.0000455E+001, 1.9999511E+001,-3.0261180E-007,-7.9804491E-008,-4.3216134E-007,-1.8314762E-007,-3.5338492E-007,-3.9549872E-007, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003
 3.0026076E+001, 0.0000000E+000, 0.0000000E+000, 7.0680730E-004, 7.0680641E-004, 7.0680646E-004, 7.0680568E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 1.9999851E+001, 2.0000223E+001, 2.0000200E+001, 2.0000525E+001,-2.6295198E-007,-2.0703326E-007,-1.6476516E-007,-5.8016677E-008, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 7.0680814E-004, 7.0680757E-004, 7.0680740E-004, 7.0680622E-004, 7.0680584E-004, 7.0680813E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 1.9999505E+001, 1.9999740E+001, 1.9999813E+001, 2.0000299E+001, 2.0000458E+001, 1.9999508E+001,-2.9929802E-007,-7.9985203E-008,-4.2653137E-007,-1.8004661E-007,-3.4809074E-007,-3.9112082E-007, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003
 3.1068648E+001, 0.0000000E+000, 0.0000000E+000, 7.0680731E-004, 7.0680638E-004, 7.0680648E-004, 7.0680566E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 1.9999848E+001, 2.0000233E+001, 2.0000192E+001, 2.0000532E+001,-2.6016667E-007,-2.0356058E-007,-1.6309376E-007,-5.6886217E-008, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 7.0680813E-004, 7.0680761E-004, 7.0680741E-004, 7.0680620E-004, 7.0680583E-004, 7.0680814E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 1.9999507E+001, 1.9999726E+001, 1.9999808E+001, 2.0000309E+001, 2.0000461E+001, 1.9999505E+001,-2.9610737E-007,-8.0207470E-008,-4.2101397E-007,-1.7702783E-007,-3.4305468E-007,-3.8697960E-007, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003
 3.2006963E+001, 0.0000000E+000, 0.0000000E+000, 7.0680732E-004, 7.0680636E-004, 7.0680650E-004, 7.0680565E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 1.9999846E+001, 2.0000242E+001, 2.0000185E+001, 2.0000539E+001,-2.5751210E-007,-2.0022959E-007,-1.6150548E-007,-5.5848801E-008, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 7.0680813E-004, 7.0680764E-004, 7.0680742E-004, 7.0680618E-004, 7.0680583E-004, 7.0680815E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 1.9999510E+001, 1.9999713E+001, 1.9999802E+001, 2.0000318E+001, 2.0000463E+001, 1.9999502E+001,-2.9305259E-007,-8.0478848E-008,-4.1569825E-007,-1.7414977E-007,-3.3835269E-007,-3.8305824E-007, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003
 3.3049535E+001, 0.0000000E+000, 0.0000000E+000, 7.0680732E-004, 7.0680634E-004, 7.0680652E-004, 7.0680563E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 1.9999843E+001, 2.0000251E+001, 2.0000178E+001, 2.0000545E+001,-2.5505027E-007,-1.9706492E-007,-1.6004884E-007,-5.4843302E-008, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 7.0680812E-004, 7.0680767E-004, 7.0680743E-004, 7.0680616E-004, 7.0680583E-004, 7.0680816E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 1.9999512E+001, 1.9999699E+001, 1.9999797E+001, 2.0000327E+001, 2.0000465E+001, 1.9999499E+001,-2.9016520E-007,-8.0784874E-008,-4.1090714E-007,-1.7141046E-007,-3.3377793E-007,-3.7928703E-007, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003
 3.4092107E+001, 0.0000000E+000, 0.0000000E+000, 7.0680733E-004, 7.0680632E-004, 7.0680654E-004, 7.0680562E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 1.9999841E+001, 2.0000261E+001, 2.0000170E+001, 2.0000551E+001,-2.5252233E-007,-1.9373859E-007,-1.5847584E-007,-5.3871689E-008, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 7.0680812E-004, 7.0680771E-004, 7.0680745E-004, 7.0680614E-004, 7.0680582E-004, 7.0680816E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 1.9999515E+001, 1.9999685E+001, 1.9999792E+001, 2.0000336E+001, 2.0000466E+001, 1.9999496E+001,-2.8715968E-007,-8.1128014E-008,-4.0576434E-007,-1.6854401E-007,-3.2913774E-007,-3.7544850E-007, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003
 3.5030422E+001, 0.0000000E+000, 0.0000000E+000, 7.0680734E-004, 7.0680630E-004, 7.0680655E-004, 7.0680561E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 1.9999838E+001, 2.0000269E+001, 2.0000164E+001, 2.0000556E+001,-2.5029175E-007,-1.9079963E-007,-1.5712672E-007,-5.3046690E-008, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 7.0680811E-004, 7.0680774E-004, 7.0680746E-004, 7.0680612E-004, 7.0680582E-004, 7.0680817E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 1.9999518E+001, 1.9999671E+001, 1.9999788E+001, 2.0000344E+001, 2.0000468E+001, 1.9999493E+001,-2.8449868E-007,-8.1476097E-008,-4.0127731E-007,-1.6602598E-007,-3.2508349E-007,-3.7205752E-007, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003
 3.6072994E+001, 0.0000000E+000, 0.0000000E+000, 7.0680734E-004, 7.0680628E-004, 7.0680657E-004, 7.0680560E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 1.9999836E+001, 2.0000277E+001, 2.0000157E+001, 2.0000560E+001,-2.4818207E-007,-1.8794131E-007,-1.5585934E-007,-5.2254709E-008, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 7.0680810E-004, 7.0680777E-004, 7.0680747E-004, 7.0680610E-004, 7.0680582E-004, 7.0680818E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 1.9999521E+001, 1.9999658E+001, 1.9999783E+001, 2.0000352E+001, 2.0000469E+001, 1.9999491E+001,-2.8193593E-007,-8.1846651E-008,-3.9708880E-007,-1.6355863E-007,-3.2104737E-007,-3.6874473E-007, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003
 3.7011308E+001, 0.0000000E+000, 0.0000000E+000, 7.0680735E-004, 7.0680626E-004, 7.0680659E-004, 7.0680559E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 1.9999833E+001, 2.0000285E+001, 2.0000150E+001, 2.0000564E+001,-2.4616401E-007,-1.8516428E-007,-1.5460995E-007,-5.1569839E-008, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 7.0680810E-004, 7.0680781E-004, 7.0680748E-004, 7.0680608E-004, 7.0680582E-004, 7.0680818E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 1.9999523E+001, 1.9999644E+001, 1.9999779E+001, 2.0000360E+001, 2.0000470E+001, 1.9999488E+001,-2.7946737E-007,-8.2220957E-008,-3.9291379E-007,-1.6117983E-007,-3.1728335E-007,-3.6561608E-007, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003
